xe,rhoe,ue,pe,ee,Me,se
0.5,2.4402,1.7672,5.4435,5.5769,1,0.4455
0.502,2.4148,1.7857,5.3642,5.5535,1.0126,0.4455
0.504,2.3895,1.8043,5.2858,5.5302,1.0253,0.4455
0.506,2.3645,1.8228,5.2084,5.507,1.038,0.4455
0.508,2.3397,1.8413,5.132,5.4837,1.0507,0.4455
0.51,2.315,1.8598,5.0566,5.4606,1.0635,0.4455
0.512,2.2906,1.8783,4.9821,5.4375,1.0764,0.4455
0.514,2.2664,1.8968,4.9085,5.4144,1.0893,0.4455
0.516,2.2424,1.9154,4.8359,5.3914,1.1023,0.4455
0.518,2.2186,1.9339,4.7642,5.3685,1.1153,0.4455
0.52,2.195,1.9524,4.6934,5.3456,1.1284,0.4455
0.522,2.1716,1.9709,4.6236,5.3227,1.1416,0.4455
0.524,2.1484,1.9894,4.5546,5.2999,1.1548,0.4455
0.526,2.1254,2.008,4.4865,5.2771,1.1681,0.4455
0.528,2.1026,2.0265,4.4193,5.2544,1.1814,0.4455
0.53,2.08,2.045,4.3529,5.2317,1.1947,0.4455
0.532,2.0576,2.0635,4.2874,5.2091,1.2082,0.4455
0.534,2.0354,2.082,4.2227,5.1866,1.2217,0.4455
0.536,2.0134,2.1005,4.1589,5.164,1.2352,0.4455
0.538,1.9916,2.1191,4.0959,5.1416,1.2488,0.4455
0.54,1.9699,2.1376,4.0337,5.1191,1.2625,0.4455
0.542,1.9485,2.1561,3.9724,5.0968,1.2762,0.4455
0.544,1.9272,2.1746,3.9118,5.0744,1.29,0.4455
0.546,1.9061,2.1931,3.852,5.0522,1.3039,0.4455
0.548,1.8852,2.2117,3.7931,5.03,1.3178,0.4455
0.55,1.8645,2.2302,3.7349,5.0078,1.3318,0.4455
0.552,1.844,2.2487,3.6774,4.9856,1.3458,0.4455
0.554,1.8237,2.2672,3.6207,4.9636,1.3599,0.4455
0.556,1.8035,2.2857,3.5648,4.9415,1.374,0.4455
0.558,1.7835,2.3043,3.5096,4.9196,1.3883,0.4455
0.56,1.7637,2.3228,3.4552,4.8976,1.4026,0.4455
0.562,1.7441,2.3413,3.4014,4.8757,1.4169,0.4455
0.564,1.7246,2.3598,3.3484,4.8539,1.4313,0.4455
0.566,1.7053,2.3783,3.2961,4.8321,1.4458,0.4455
0.568,1.6862,2.3968,3.2445,4.8104,1.4603,0.4455
0.57,1.6673,2.4154,3.1936,4.7887,1.475,0.4455
